# Weather station New York / Central Park (AWS), USA, METAR=KNYC,selection from 01.05.2018 till 01.06.2018, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=KNYC&lang=en
#
"Local time in New York / Central Park (AWS)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"31.05.2018 23:51";"19.0";"757.6";"760.5";"94";"Calm, no wind";"0";"";"Mist";"";"Overcast (100%) 90 m";"4.8";"18.0";
"31.05.2018 22:51";"18.0";"757.8";"760.7";"100";"Calm, no wind";"0";"";"Mist";"";"Overcast (100%) 90 m";"4.8";"18.0";
"31.05.2018 22:48";"18.0";"757.8";"760.7";"100";"Wind blowing from the south-southeast";"2";"";"Mist";"";"Overcast (100%) 90 m";"4.8";"18.0";
"31.05.2018 21:51";"18.0";"758.1";"761.0";"100";"Calm, no wind";"0";"";"Mist";"";"Overcast (100%) 90 m";"3.2";"18.0";
"31.05.2018 20:51";"18.0";"758.1";"761.0";"100";"Calm, no wind";"0";"";"Mist";"";"Overcast (100%) 60 m";"3.2";"18.0";
"31.05.2018 20:14";"19.0";"758.1";"761.0";"94";"Calm, no wind";"0";"";"Mist";"";"Overcast (100%) 90 m";"3.2";"18.0";
"31.05.2018 19:51";"19.0";"758.1";"761.0";"94";"variable wind direction";"2";"";"Mist";"";"Overcast (100%) 90 m";"2.8";"18.0";
"31.05.2018 19:19";"19.0";"758.3";"761.2";"94";"variable wind direction";"2";"";"Mist";"";"Overcast (100%) 90 m";"4.0";"18.0";
"31.05.2018 18:51";"19.0";"758.6";"761.5";"94";"variable wind direction";"3";"";"Mist";"";"Overcast (100%) 120 m";"4.8";"18.0";
"31.05.2018 17:51";"19.0";"758.6";"761.5";"100";"variable wind direction";"2";"";"Mist";"";"Overcast (100%) 90 m";"4.0";"19.0";
"31.05.2018 17:30";"19.0";"758.8";"761.7";"100";"variable wind direction";"2";"";"Mist";"";"Overcast (100%) 120 m";"4.0";"19.0";
"31.05.2018 17:23";"19.0";"758.8";"761.7";"100";"variable wind direction";"2";"";"Mist";"";"Overcast (100%) 120 m";"4.8";"19.0";
"31.05.2018 16:51";"20.0";"758.8";"761.7";"94";"Calm, no wind";"0";"";"Mist";"";"Overcast (100%) 120 m";"4.0";"19.0";
"31.05.2018 16:35";"20.0";"758.8";"761.7";"94";"variable wind direction";"2";"";"Mist";"";"Overcast (100%) 120 m";"3.2";"19.0";
